Weather,Time,State
0,1578842797,1
0,1578842849,1
0,1578843397,0
0,1578843450,0
0,1578843997,0
0,1578844049,0
0,1578844598,0
0,1578844649,0
0,1578845197,0
0,1578845249,0
0,1578845797,0
0,1578845849,0
0,1578846397,0
0,1578846449,0
0,1578846997,0
0,1578847049,0
0,1578847597,0
0,1578847649,0
0,1578848197,0
0,1578848249,0
0,1578848797,0
0,1578848850,0
0,1578849397,0
0,1578849449,0
0,1578849997,0
0,1578850049,0
0,1578850597,0
0,1578850649,0
0,1578851197,0
0,1578851249,0
0,1578851797,0
0,1578851849,0
0,1578852397,0
0,1578852449,0
0,1578852997,0
0,1578853049,0
0,1578853597,1
0,1578853649,1
0,1578854197,1
0,1578854249,1
0,1578854797,1
0,1578854849,1
0,1578855397,1
0,1578855449,1
0,1578855997,0
0,1578856049,0
0,1578856597,0
0,1578856649,0
0,1578857197,0
0,1578857249,0
0,1578857797,0
0,1578857849,0
0,1578858397,0
0,1578858449,0
0,1578858997,0
0,1578859049,0
0,1578859597,0
0,1578859649,0
0,1578860197,0
0,1578860249,0
0,1578860797,0
0,1578860849,0
0,1578861397,0
0,1578861450,0
0,1578861997,0
0,1578862050,0
0,1578862597,0
0,1578862649,0
0,1578863197,0
0,1578863249,0
0,1578863797,0
0,1578863849,0
0,1578864397,0
0,1578864449,0
0,1578864997,0
0,1578865049,0
0,1578865597,0
0,1578865649,0
0,1578866197,0
0,1578866249,0
0,1578866797,0
0,1578866849,0
0,1578867397,0
0,1578867449,0
0,1578867997,0
0,1578868049,0
0,1578868597,0
0,1578868649,0
0,1578869198,0
0,1578869249,0
0,1578869797,0
0,1578869849,0
0,1578870397,0
0,1578870449,0
0,1578870997,0
0,1578871049,0
0,1578871597,0
0,1578871649,0
0,1578872197,0
0,1578872249,0
0,1578872797,0
0,1578872849,0
0,1578873397,0
0,1578873449,0
0,1578873997,0
0,1578874050,0
0,1578874597,0
0,1578874649,0
0,1578875197,0
0,1578875249,0
0,1578875797,0
0,1578875849,0
0,1578876397,0
0,1578876449,0
0,1578876997,0
0,1578877049,0
0,1578877597,0
0,1578877649,0
0,1578878197,0
0,1578878249,0
0,1578878797,0
0,1578878849,0
0,1578879397,0
0,1578879449,0
0,1578879997,0
0,1578880049,0
0,1578880597,0
0,1578880649,0
0,1578881197,0
0,1578881249,0
0,1578881797,0
0,1578881849,0
0,1578882397,0
0,1578882449,0
0,1578882997,0
0,1578883049,0
0,1578883597,0
0,1578883649,0
0,1578884197,0
0,1578884249,0
0,1578884798,1
0,1578884850,1
0,1578885397,1
0,1578885449,1
0,1578885997,1
0,1578886049,1
0,1578886597,1
0,1578886649,1
0,1578887197,1
0,1578887249,1
0,1578887797,1
0,1578887849,1
0,1578888397,1
0,1578888449,1
0,1578888997,1
0,1578889049,1
0,1578889597,1
0,1578889649,1
0,1578890197,1
0,1578890249,1
0,1578890797,1
0,1578890849,1
0,1578891397,1
0,1578891449,1
0,1578891997,1
0,1578892049,1
0,1578892597,1
0,1578892649,1
0,1578893197,1
0,1578893249,1
0,1578893797,1
0,1578893849,1
0,1578894397,1
0,1578894449,1
0,1578894997,1
0,1578895049,1
0,1578895597,1
0,1578895649,1
0,1578896197,1
0,1578896249,1
0,1578896797,1
0,1578896849,1
0,1578897397,1
0,1578897449,1
0,1578897997,1
0,1578898049,1
0,1578898597,1
0,1578898649,1
0,1578899197,1
0,1578899249,1
0,1578899797,1
0,1578899849,1
0,1578900397,0
0,1578900449,0
0,1578900997,0
0,1578901049,0
0,1578901597,0
0,1578901649,0
0,1578902197,0
0,1578902249,0
0,1578902797,0
0,1578902849,0
0,1578903397,0
0,1578903449,0
0,1578903997,0
0,1578904049,0
0,1578904597,0
0,1578904649,0
0,1578905197,0
0,1578905249,0
0,1578905797,0
0,1578905850,0
0,1578906397,0
0,1578906450,0
0,1578906997,0
0,1578907049,0
0,1578907597,0
0,1578907649,0
0,1578908197,0
0,1578908249,0
0,1578908797,0
0,1578908849,0
0,1578909397,0
0,1578909450,0
0,1578909997,0
0,1578910049,0
0,1578910597,0
0,1578910649,0
0,1578911197,0
0,1578911249,0
0,1578911797,0
0,1578911849,0
0,1578912397,0
0,1578912449,0
0,1578912997,0
0,1578913050,0
0,1578913600,0
0,1578913649,0
0,1578914197,0
0,1578914249,0
0,1578914797,0
0,1578914849,0
0,1578915397,0
0,1578915450,0
0,1578915997,0
0,1578916049,0
0,1578916597,0
0,1578916649,0
0,1578917197,0
0,1578917249,0
0,1578917797,0
0,1578917849,0
0,1578918397,0
0,1578918449,0
0,1578918997,0
0,1578919049,0
0,1578919597,0
0,1578919649,0
0,1578920197,0
0,1578920250,0
0,1578920797,0
0,1578920849,0
0,1578921397,0
0,1578921449,0
0,1578921997,0
0,1578922049,0
0,1578922597,0
0,1578922654,0
0,1578923197,0
0,1578923249,0
0,1578923797,0
0,1578923849,0
0,1578924397,0
0,1578924449,0
0,1578924997,0
0,1578925049,0
0,1578925597,0
0,1578925650,0
0,1578926201,0
0,1578926249,0
0,1578926797,0
0,1578926849,0
0,1578927397,0
0,1578927449,0
0,1578927997,0
0,1578928049,0
0,1578928597,0
0,1578928649,0
0,1578929197,1
0,1578929249,1
0,1578929797,1
0,1578929849,1
0,1578930397,1
0,1578930449,1
0,1578930997,1
0,1578931050,1
0,1578931597,1
0,1578931650,1
0,1578932197,1
0,1578932249,1
0,1578932797,1
0,1578932849,1
0,1578933397,1
0,1578933449,1
0,1578933997,1
0,1578934049,1
0,1578934597,1
0,1578934650,1
0,1578935197,1
0,1578935249,1
0,1578935797,1
0,1578935850,1
0,1578936397,1
0,1578936450,1
0,1578936998,1
0,1578937049,1
0,1578937597,1
0,1578937650,1
0,1578938197,1
0,1578938250,1
0,1578938797,1
0,1578938850,1
0,1578939399,1
0,1578939450,1
0,1578939997,1
0,1578940050,1
0,1578940598,1
0,1578940649,1
0,1578941197,1
0,1578941249,1
0,1578941799,1
0,1578941849,1
0,1578942397,1
0,1578942450,1
0,1578942997,1
0,1578943049,1
0,1578943597,1
0,1578943649,1
0,1578944197,0
0,1578944249,0
0,1578944797,0
0,1578944850,0
0,1578945397,0
0,1578945450,0
0,1578945997,0
0,1578946049,0
0,1578946597,0
0,1578946649,0
0,1578947197,0
0,1578947250,0
0,1578947797,0
0,1578947849,0
0,1578948397,0
0,1578948450,0
0,1578948997,0
0,1578949049,0
0,1578949597,0
0,1578949649,0
0,1578950197,0
0,1578950249,0
0,1578950797,0
0,1578950849,0
0,1578951401,0
0,1578951449,0
0,1578951997,0
0,1578952050,0
0,1578952597,0
0,1578952649,0
0,1578953197,0
0,1578953250,0
0,1578953797,0
0,1578953850,0
0,1578954397,0
0,1578954449,0
0,1578954997,0
0,1578955050,0
0,1578955597,0
0,1578955649,0
0,1578956197,0
0,1578956249,0
0,1578956797,0
0,1578956849,0
0,1578957397,0
0,1578957449,0
0,1578957997,0
0,1578958049,0
0,1578958597,0
0,1578958654,0
0,1578959197,0
0,1578959249,0
0,1578959797,0
0,1578959850,0
0,1578960397,0
0,1578960449,0
0,1578960997,0
0,1578961049,0
0,1578961597,0
0,1578961649,0
0,1578962197,0
0,1578962249,0
0,1578962797,0
0,1578962849,0
0,1578963397,0
0,1578963450,0
0,1578963997,0
0,1578964049,0
0,1578964597,0
0,1578964649,0
0,1578965197,0
0,1578965249,0
0,1578965797,0
0,1578965850,0
0,1578966397,0
0,1578966449,0
0,1578966997,0
0,1578967050,0
0,1578967597,0
0,1578967649,0
0,1578968197,0
0,1578968250,0
0,1578968797,0
0,1578968849,0
0,1578969397,0
0,1578969454,0
0,1578969997,0
0,1578970050,0
0,1578970597,0
0,1578970649,0
0,1578971197,1
0,1578971249,1
0,1578971797,1
0,1578971849,1
0,1578972397,1
0,1578972449,1
0,1578972997,1
0,1578973049,1
0,1578973597,1
0,1578973649,1
0,1578974197,1
0,1578974250,1
0,1578974797,1
0,1578974849,1
0,1578975397,1
0,1578975449,1
0,1578975997,1
0,1578976049,1
0,1578976597,1
0,1578976649,1
0,1578977197,1
0,1578977249,1
0,1578977797,1
0,1578977849,1
0,1578978397,1
0,1578978449,1
0,1578978997,1
0,1578979049,1
0,1578979597,1
0,1578979650,1
0,1578980197,1
0,1578980249,1
0,1578980797,1
0,1578980849,1
0,1578981397,1
0,1578981449,1
0,1578981997,1
0,1578982049,1
0,1578982597,1
0,1578982649,1
0,1578983197,1
0,1578983249,1
0,1578983797,1
0,1578983850,1
0,1578984397,1
0,1578984449,1
0,1578984997,1
0,1578985049,1
0,1578985597,1
0,1578985649,1
0,1578986197,1
0,1578986249,1
0,1578986797,0
0,1578986850,0
0,1578987397,0
0,1578987449,0
0,1578987997,0
0,1578988049,0
0,1578988597,0
0,1578988649,0
0,1578989197,0
0,1578989249,0
0,1578989797,0
0,1578989849,0
0,1578990397,0
0,1578990449,0
0,1578990997,0
0,1578991050,0
0,1578991597,0
0,1578991649,0
0,1578992197,0
0,1578992249,0
0,1578992797,0
0,1578992849,0
0,1578993397,0
0,1578993449,0
0,1578993997,0
0,1578994050,0
0,1578994597,0
0,1578994649,0
0,1578995197,0
0,1578995249,0
0,1578995797,0
0,1578995849,0
0,1578996397,0
0,1578996449,0
0,1578996997,0
0,1578997049,0
0,1578997597,0
0,1578997649,0
0,1578998197,0
0,1578998249,0
0,1578998797,0
0,1578998849,0
0,1578999397,0
0,1578999449,0
0,1578999997,0
0,1579000052,0
0,1579000597,0
0,1579000649,0
0,1579001197,0
0,1579001249,0
0,1579001797,0
0,1579001849,0
0,1579002397,0
0,1579002449,0
0,1579002997,0
0,1579003049,0
0,1579003597,0
0,1579003649,0
0,1579004197,0
0,1579004249,0
0,1579004797,0
0,1579004854,0
0,1579005397,0
0,1579005449,0
0,1579005997,0
0,1579006049,0
0,1579006597,0
0,1579006650,0
0,1579007197,0
0,1579007249,0
0,1579007797,0
0,1579007849,0
0,1579008397,0
0,1579008450,0
0,1579008997,0
0,1579009049,0
0,1579009597,0
0,1579009649,0
0,1579010197,0
0,1579010249,0
0,1579010797,0
0,1579010849,0
0,1579011397,0
0,1579011449,0
0,1579011997,0
0,1579012049,0
0,1579012597,0
0,1579012649,0
0,1579013197,0
0,1579013249,0
0,1579013797,0
0,1579013850,0
0,1579014397,0
0,1579014449,0
0,1579014853,0
0,1579015111,0
0,1579015711,1
0,1579016311,1
0,1579016911,1
0,1579017511,1
0,1579018111,1
0,1579018711,1
0,1579019311,1
0,1579019911,1
0,1579020511,1
0,1579021111,1
0,1579021711,1
0,1579022311,1
0,1579022911,1
0,1579023510,1
0,1579024111,1
0,1579024711,1
0,1579025311,1
0,1579025911,1
0,1579026511,1
0,1579027111,1
0,1579027711,0
0,1579028311,0
0,1579028911,0
0,1579029511,0
0,1579030111,0
0,1579030711,0
0,1579031311,0
0,1579031911,0
0,1579032511,0
0,1579033110,0
0,1579033711,0
0,1579034311,0
0,1579034911,0
0,1579035511,0
0,1579036111,0
0,1579036711,0
0,1579037315,0
0,1579037911,0
0,1579038511,0
0,1579039111,0
0,1579039711,0
0,1579040310,0
0,1579040915,0
0,1579041511,0
0,1579042111,0
0,1579042711,0
0,1579043311,0
0,1579043911,0
0,1579044511,0
0,1579045111,0
0,1579045711,0
0,1579046311,0
0,1579046911,0
0,1579047511,0
0,1579048111,0
0,1579048710,0
0,1579049311,0
0,1579049911,0
0,1579050511,0
0,1579051111,0
0,1579051711,0
0,1579052311,0
0,1579052911,0
0,1579053515,0
0,1579054111,0
0,1579054711,0
0,1579055311,0
0,1579055911,0
0,1579056511,0
0,1579057115,1
0,1579057711,1
0,1579058311,1
0,1579058911,1
0,1579059511,1
0,1579060111,1
0,1579060711,1
0,1579061311,1
0,1579061911,1
0,1579062511,1
0,1579063110,1
0,1579063711,1
0,1579064311,1
0,1579064746,1
0,1579065344,0
0,1579065944,0
0,1579066544,0
0,1579067144,0
0,1579067744,0
0,1579068344,0
0,1579068944,0
0,1579069544,0
0,1579070144,0
0,1579070744,0
0,1579071345,0
0,1579071944,0
0,1579072544,0
0,1579073144,0
0,1579073744,0
0,1579074344,0
0,1579074944,0
0,1579075544,0
0,1579076144,0
0,1579076744,0
0,1579077344,0
0,1579077944,0
0,1579078548,0
0,1579079144,0
0,1579079744,0
0,1579080344,0
0,1579080944,0
0,1579081544,0
0,1579082144,0
0,1579082744,0
0,1579083344,0
0,1579083944,0
0,1579084544,0
0,1579085144,0
0,1579085744,0
0,1579086344,0
0,1579086948,0
0,1579087544,0
0,1579088144,0
0,1579088744,0
0,1579089344,0
0,1579089944,0
0,1579090544,0
0,1579091144,0
0,1579091744,0
0,1579092344,0
0,1579092944,0
0,1579093544,0
0,1579094144,0
0,1579094744,0
0,1579095344,0
0,1579095944,0
0,1579096544,0
0,1579097144,0
0,1579097744,0
0,1579098344,0
0,1579098944,0
0,1579099544,0
0,1579100144,0
0,1579100744,0
0,1579101347,0
0,1579101944,0
0,1579102544,1
0,1579103144,1
0,1579103744,1
0,1579104344,1
0,1579104944,1
0,1579105544,1
0,1579106144,1
0,1579106744,1
0,1579107344,1
0,1579107944,1
0,1579108544,1
0,1579109144,1
0,1579109744,1
0,1579110344,1
0,1579110944,1
0,1579111544,1
0,1579112144,1
0,1579112744,1
0,1579113130,0
0,1579113699,0
0,1579114299,0
0,1579114899,0
0,1579115499,0
0,1579116099,0
0,1579116699,0
0,1579117299,0
0,1579117899,0
0,1579118503,0
0,1579119102,0
0,1579119699,0
0,1579120299,0
0,1579120899,0
0,1579121499,0
0,1579122099,0
0,1579122699,0
0,1579123299,0
0,1579123899,0
0,1579124499,0
0,1579125099,0
0,1579125699,0
0,1579126299,0
0,1579126899,0
0,1579127499,0
0,1579128099,0
0,1579128699,0
0,1579129299,0
0,1579129899,0
0,1579130499,0
0,1579131099,0
0,1579131699,0
0,1579132299,0
0,1579132899,0
0,1579133499,0
0,1579134099,0
0,1579134699,0
0,1579135299,0
0,1579135899,0
0,1579136499,0
0,1579137099,0
0,1579137699,0
0,1579138299,0
0,1579138899,0
0,1579139499,0
0,1579140099,0
0,1579140699,0
0,1579141299,0
0,1579141899,0
0,1579142499,0
0,1579143099,0
0,1579143699,1
0,1579144299,1
0,1579144899,1
0,1579145499,1
0,1579146099,1
0,1579146699,1
0,1579147299,1
0,1579147899,1
0,1579148499,1
0,1579149099,1
0,1579149699,1
0,1579150299,1
0,1579150899,1
0,1579151499,1
0,1579152099,1
0,1579152699,1
0,1579153299,1
0,1579153899,1
0,1579154503,1
0,1579155099,1
0,1579155699,1
0,1579156299,1
0,1579156903,1
0,1579157499,1
0,1579158099,1
0,1579158699,1
0,1579159300,1
0,1579159899,0
0,1579160499,0
0,1579161100,0
0,1579161699,0
0,1579162299,0
0,1579162899,0
0,1579163499,0
0,1579164099,0
0,1579164699,0
0,1579165299,0
0,1579165899,0
0,1579166500,0
0,1579167099,0
0,1579167699,0
0,1579168299,0
0,1579168899,0
0,1579169499,0
0,1579170099,0
0,1579170699,0
0,1579171299,0
0,1579171899,0
0,1579172499,0
0,1579173099,0
